From,To,Inclusions,Earliest Pick up,Latest Drop off,Vehicle type,Rate,Days allowed,Extra days
San Francisco,Seattle,"Inclusions: $100 gas allowance, Keep receipts",08 Sep,20 Sep,4 Person RV,$1.00per night,2,10
San Francisco,San Diego,"Inclusions: $50 gas allowance, Keep receipts",08 Sep,18 Sep,4 Person RV,$1.00per night,3,5
San Francisco,San Diego,"Inclusions: $50 gas allowance, Keep receipts",08 Sep,18 Sep,4 Person RV,$1.00per night,3,5
Seattle,New York,"Inclusions: $250 gas allowance, keep receipts",13 Sep,17 Sep,2 Person Mini RV (no bathroom),$1.00per day,4,0
Los Angeles,Seattle,,22 Aug,30 Aug,2 Person Mini RV (no bathroom),$1.00per day,5,3
Las Vegas,San Francisco,"Inclusions: $100 gas allowance, Keep receipts",24 Aug,27 Aug,6 Berth with Bathroom,$1.00per night,3,0
Las Vegas,San Francisco,"Inclusions: $100 gas allowance, Keep receipts",25 Aug,03 Sep,6 Berth with Bathroom,$1.00per night,4,5
Las Vegas,San Francisco,"Inclusions: $100 gas allowance, Keep receipts",25 Aug,03 Sep,4 Person RV,$1.00per night,4,5
Las Vegas,San Francisco,"Inclusions: $100 gas allowance, Keep receipts",25 Aug,03 Sep,4 Person RV,$1.00per night,4,5
Las Vegas,San Francisco,"Inclusions: $100 gas allowance, Keep receipts",25 Aug,03 Sep,4 Person RV,$1.00per night,4,5
Las Vegas,San Francisco,"Inclusions: $100 gas allowance, Keep receipts",25 Aug,03 Sep,6 Berth with Bathroom,$1.00per night,4,5
